"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__EmailTemplate__c","LLC_BI__Email_Template_Purpose__c","LLC_BI__Institution__c","LLC_BI__lookupKey__c","AutorabitExtId__c"
"a4o4T000000PEyfQAG","0054T000000qMtZQAU","","ETI-000000054","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","","00X4T000000GTv4","Account Document Assigned - Bulk","a4q4T0000004KW4QAM","",""
"a4o4T000000PEygQAG","0054T000000qMtZQAU","","ETI-000000055","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","","00X4T000000GTv5UAG","Account Document Rejected","a4q4T0000004KW4QAM","",""
"a4o4T000000PEyhQAG","0054T000000qMtZQAU","","ETI-000000056","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","","00X4T000000GTv6","Borrower Added (Existing)","a4q4T0000004KW4QAM","",""
"a4o4T000000PEyiQAG","0054T000000qMtZQAU","","ETI-000000057","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","","00X4T000000GTv7","Borrower Added (New)","a4q4T0000004KW4QAM","",""
"a4o4T000000PEyjQAG","0054T000000qMtZQAU","","ETI-000000058","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","","00X4T000000GTv8","Co-Owner Added (Existing)","a4q4T0000004KW4QAM","",""
"a4o4T000000PEykQAG","0054T000000qMtZQAU","","ETI-000000059","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","","00X4T000000GTv9","Co-Owner Added (New)","a4q4T0000004KW4QAM","",""
"a4o4T000000PEylQAG","0054T000000qMtZQAU","","ETI-000000060","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","","00X4T000000GTvB","Deposit Documents Assigned","a4q4T0000004KW4QAM","",""
"a4o4T000000PEymQAG","0054T000000qMtZQAU","","ETI-000000061","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","","00X4T000000GTvA","Deposit Document Rejected","a4q4T0000004KW4QAM","",""
"a4o4T000000PEynQAG","0054T000000qMtZQAU","","ETI-000000062","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","","00X4T000000GTuq","Guarantor Added (Existing)","a4q4T0000004KW4QAM","",""
"a4o4T000000PEyoQAG","0054T000000qMtZQAU","","ETI-000000063","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","2019-09-09T15:18:06.000Z","0054T000000qMtZQAU","","00X4T000000GTur","Guarantor Added (New)","a4q4T0000004KW4QAM","",""
